Key,Seconds,WPM
h,19.920,95.8
e,19.990,96.0
 ,20.085,96.2
w,20.137,96.5
a,20.230,96.7
y,20.351,96.7
 ,20.450,96.8
a,20.537,97.0
l,20.575,97.4
o,20.698,97.4
n,20.776,97.6
g,20.838,97.9
 ,20.910,98.1
t,20.963,98.5
h,21.025,98.7
e,21.086,99.0
 ,21.159,99.3
n,21.204,99.6
a,21.288,99.8
r,21.515,99.3
r,21.671,99.1
o,21.822,99.0
w,21.915,99.1
 ,22.008,99.2
t,22.088,99.4
r,22.149,99.7
a,22.243,99.8
c,22.337,99.9
k,22.437,100.0
 ,22.541,100.1
i,22.628,100.2
n,22.673,100.6
t,22.798,100.5
o,22.890,100.7
 ,22.978,100.8
t,23.023,101.1
h,23.107,101.3
e,23.179,101.5
 ,23.220,101.8
w,23.328,101.9
o,23.429,101.9
o,23.554,101.9
d,23.690,101.8
.,23.754,102.0
 ,23.874,102.0
Shift,24.053,101.8
B,24.175,101.8
Backspace,24.470,101.0
O,24.603,101.0
B,24.742,100.9
v,25.151,99.7
i,25.585,98.5
o,25.710,98.5
u,25.805,98.6
s,25.914,98.6
l,25.962,98.9
 ,26.176,98.6
s,26.304,98.5
h,26.398,98.6
e,26.516,98.7
 ,26.589,98.8
h,26.707,98.9
a,26.784,99.0
d,26.870,99.1
 ,26.959,99.3
b,27.026,99.5
e,27.181,99.3
e,27.277,99.4
n,27.413,99.4
 ,27.519,99.4
t,27.587,99.6
h,27.658,99.8
a,27.760,99.9
t,28.245,98.6
 ,28.452,98.3
w,28.587,98.2
a,28.709,98.2
y,28.907,98.0
 ,29.059,97.9
b,29.175,97.9
e,29.344,97.7
f,29.504,97.6
o,29.584,97.8
r,29.702,97.8
e,29.746,98.0
,,29.879,98.0
 ,29.958,98.1
f,30.044,98.3
o,30.139,98.3
r,30.223,98.5
 ,30.304,98.6
s,30.370,98.8
h,30.463,98.9
e,30.534,99.0
 ,30.850,98.4
d,30.998,98.3
o,31.112,98.4
d,31.180,98.5
g,31.321,98.5
e,31.433,98.5
e,31.854,97.6
d,32.010,97.5
 ,32.058,97.7
t,32.111,97.9
h,32.196,98.0
e,32.250,98.2
 ,32.328,98.4
b,32.423,98.4
o,32.447,98.7
g,32.655,98.5
g,32.843,98.3
y,33.098,97.9
 ,33.653,96.6
b,33.824,96.5
i,33.979,96.4
t,34.113,96.4
s,34.578,95.4
 ,34.689,95.5
a,34.757,95.6
s,34.811,95.8
 ,34.915,95.9
t,34.961,96.1
h,35.044,96.2
o,35.136,96.3
u,35.222,96.4
g,35.311,96.5
h,35.429,96.5
 ,35.532,96.6
b,35.617,96.7
 ,35.848,96.4
Backspace,36.381,95.3
y,36.499,95.3
 ,36.615,95.4
h,36.718,95.4
a,36.795,95.6
b,36.859,95.7
i,36.975,95.7
t,37.401,95.0
.,37.739,94.4
